bot	id	type	arabic	translit	english
SA	54	classic	أقابل صاحبي في الكافيه	agabil sahbi fil-kafيه	I meet my friend at the café
SA	55	classic	أقابل صاحبي في الكافيه بعد العصر	agabil sahbi fil-kafيه baad al-asr	I meet my friend at the café after Asr
SA	56	classic	أقرأ	agra	I read
SA	57	classic	أقرأ كتاب	agra kitab	I read a book
SA	58	classic	أقرأ كتاب قبل النوم	agra kitab gabl an-nom	I read a book before sleep
SA	59	classic	أقرأ كتاب قبل النوم كل ليلة	agra kitab gabl an-nom kul leilah	I read a book before sleep every night
SA	60	classic	أفتح	aftah	I open
SA	61	classic	أفتح الباب	aftah al-bab	I open the door
SA	62	classic	أفتح الباب الصبح	aftah al-bab as-subh	I open the door in the morning
SA	63	classic	أفتح الباب الصبح قبل الدوام	aftah al-bab as-subh gabl ad-dawam	I open the door in the morning before work
SA	64	classic	ألبس	albis	I wear
SA	65	classic	ألبس عباية	albis abayah	I wear an abaya
SA	66	classic	ألبس عباية قبل ما أطلع	albis abayah gabl ma atla	I wear an abaya before I go out
SA	67	classic	ألبس عباية قبل ما أطلع للسوق	albis abayah gabl ma atla lis-soug	I wear an abaya before I go out to the market
SA	68	classic	أغسل	aghsil	I wash
SA	69	classic	أغسل السيارة	aghsil as-sayyarah	I wash the car
SA	70	classic	أغسل السيارة يوم الجمعة	aghsil as-sayyarah yawm al-jumuah	I wash the car on Friday
SA	71	classic	أغسل السيارة يوم الجمعة بعد الصلاة	aghsil as-sayyarah yawm al-jumuah baad as-salah	I wash the car on Friday after prayer
SA	72	classic	أطلب	atlub	I order
SA	73	classic	أطلب أكل	atlub akil	I order food
SA	74	classic	أطلب أكل من المطعم	atlub akil min al-matam	I order food from the restaurant
SA	75	classic	أطلب أكل من المطعم وأنا في البيت	atlub akil min al-matam wa ana fil-bet	I order food from the restaurant while I’m at home
SA	76	classic	أنتظر	antathir	I wait
SA	77	classic	أنتظر التاكسي	antathir at-taksi	I wait for the taxi
SA	78	classic	أنتظر التاكسي عند الباب	antathir at-taksi ind al-bab	I wait for the taxi at the door
SA	79	classic	أنتظر التاكسي عند الباب الصبح	antathir at-taksi ind al-bab as-subh	I wait for the taxi at the door in the morning
SA	80	classic	أنام	anam	I sleep
SA	81	classic	أنام بدري	anam badri	I sleep early
SA	82	classic	أنام بدري في أيام الدوام	anam badri fi ayyam ad-dawam	I sleep early on workdays
SA	83	classic	أنام بدري في أيام الدوام عشان أصحى نشيط	anam badri fi ayyam ad-dawam ashan asha نشيط	I sleep early on workdays so I wake up active
SA	84	classic	أنظف	anazzif	I clean
SA	85	classic	أنظف الغرفة	anazzif al-ghurfah	I clean the room
SA	86	classic	أنظف الغرفة قبل ما أطلع	anazzif al-ghurfah gabl ma atla	I clean the room before I go out
SA	87	classic	أنظف الغرفة قبل ما أطلع مع أهلي	anazzif al-ghurfah gabl ma atla ma أهلي	I clean the room before I go out with my family
SA	88	classic	ألعب	alab	I play
SA	89	classic	ألعب كورة	alab كورah	I play football
SA	90	classic	ألعب كورة مع أصحابي	alab كورah ma as-habi	I play football with my friends
SA	91	classic	ألعب كورة مع أصحابي بعد المغرب	alab كورah ma as-habi baad al-maghrib	I play football with my friends after Maghrib
SA	92	classic	أسكن	askun	I live
SA	93	classic	أسكن في الرياض	askun fir-riyadh	I live in Riyadh
SA	94	classic	أسكن في الرياض مع أهلي	askun fir-riyadh ma ahli	I live in Riyadh with my family
SA	95	classic	أسكن في الرياض مع أهلي من سنتين	askun fir-riyadh ma ahli min sanatein	I have lived in Riyadh with my family for two years
SA	96	classic	أدق	adigg	I call
SA	97	classic	أدق على أمي	adigg ala ummi	I call my mom
SA	98	classic	أدق على أمي كل مساء	adigg ala ummi kul masa	I call my mom every evening
SA	99	classic	أدق على أمي كل مساء بعد العشاء	adigg ala ummi kul masa baad al-asha	I call my mom every evening after dinner
SA	100	classic	أجهز	ajahhiz	I get ready
SA	101	classic	أجهز شنطتي	ajahhiz shantati	I prepare my bag
SA	102	classic	أجهز شنطتي قبل السفر	ajahhiz shantati gabl as-safar	I prepare my bag before travel
SA	103	classic	أجهز شنطتي قبل السفر بيوم	ajahhiz shantati gabl as-safar biyom	I prepare my bag one day before travel
SA	104	classic	أكتب	aktub	I write
SA	105	classic	أكتب ملاحظة	aktub mulahtha	I write a note
SA	106	classic	أكتب ملاحظة في الجوال	aktub mulahtha fil-jawwal	I write a note on my phone
SA	107	classic	أكتب ملاحظة في الجوال قبل الاجتماع	aktub mulahtha fil-jawwal gabl al-ijtima	I write a note on my phone before the meeting
SA	108	classic	أشحن	ashhin	I charge
SA	109	classic	أشحن جوالي	ashhin jawwali	I charge my phone
SA	110	classic	أشحن جوالي قبل ما أطلع	ashhin jawwali gabl ma atla	I charge my phone before going out
SA	111	classic	أشحن جوالي قبل ما أطلع للدوام	ashhin jawwali gabl ma atla lid-dawam	I charge my phone before work
SA	112	classic	أتمرن	atmaran	I exercise
SA	113	classic	أتمرن في النادي	atmaran fin-nadi	I exercise at the gym
SA	114	classic	أتمرن في النادي بعد الدوام	atmaran fin-nadi baad ad-dawam	I exercise at the gym after work
SA	115	classic	أتمرن في النادي بعد الدوام كل ثلاثاء	atmaran fin-nadi baad ad-dawam kul thulatha	I exercise at the gym after work every Tuesday
SA	116	classic	أصور	asawwir	I take photos
SA	117	classic	أصور البحر	asawwir al-bahr	I take photos of the sea
SA	118	classic	أصور البحر وقت الغروب	asawwir al-bahr wagt al-ghuroob	I take photos of the sea at sunset
SA	119	classic	أصور البحر وقت الغروب مع صاحبي	asawwir al-bahr wagt al-ghuroob ma sahbi	I take photos of the sea at sunset with my friend
SA	120	classic	أسوق	asoog	I drive
SA	121	classic	أسوق السيارة	asoog as-sayyarah	I drive the car
SA	122	classic	أسوق السيارة للدوام	asoog as-sayyarah lid-dawam	I drive the car to work
SA	123	classic	أسوق السيارة للدوام كل يوم	asoog as-sayyarah lid-dawam kul yawm	I drive the car to work every day
SA	124	classic	أتمشى	atamashsha	I walk
SA	125	classic	أتمشى في الحديقة	atamashsha fil-hadigah	I walk in the park
SA	126	classic	أتمشى في الحديقة بعد العشاء	atamashsha fil-hadigah baad al-asha	I walk in the park after dinner
SA	127	classic	أتمشى في الحديقة بعد العشاء مع أخوي	atamashsha fil-hadigah baad al-asha ma akhoy	I walk in the park after dinner with my brother
SA	128	classic	عندي موعد	indi maw'id	I have an appointment
SA	129	classic	الموعد اليوم	al-maw'id al-yom	The appointment is today
SA	130	classic	الموعد الساعة خمسة	al-maw'id as-saah khamsah	The appointment is at five
SA	131	classic	لازم أوصل بدري	lazim awsal badri	I must arrive early
SA	132	classic	عندي صداع	indi suda	I have a headache
SA	133	classic	أحتاج صيدلية	ahtaj saydaliyah	I need a pharmacy
SA	134	classic	وين أقرب صيدلية؟	wen aqrab saydaliyah?	Where is the nearest pharmacy?
SA	135	classic	أبغى مسكن لو سمحت	abgha musakkin law samaht	I want painkiller, please
SA	136	classic	أزور	azoor	I visit
SA	137	classic	أزور جدي	azoor jaddi	I visit my grandfather
SA	138	classic	أزور جدي يوم السبت	azoor jaddi yawm as-sabt	I visit my grandfather on Saturday
SA	139	classic	أزور جدي يوم السبت بعد العصر	azoor jaddi yawm as-sabt baad al-asr	I visit my grandfather on Saturday after Asr
SA	140	classic	أستلم	astalim	I receive
SA	141	classic	أستلم الطلب	astalim at-talab	I receive the order
SA	142	classic	أستلم الطلب من المندوب	astalim at-talab min al-mandoob	I receive the order from the delivery driver
SA	143	classic	أستلم الطلب من المندوب عند الباب	astalim at-talab min al-mandoob ind al-bab	I receive the order from the delivery driver at the door
SA	144	classic	أدفع	adfa	I pay
SA	145	classic	أدفع بالبطاقة	adfa bil-bitagah	I pay by card
SA	146	classic	أدفع بالبطاقة في المحل	adfa bil-bitagah fil-mahall	I pay by card at the shop
SA	147	classic	أدفع بالبطاقة في المحل بعد ما أخلص	adfa bil-bitagah fil-mahall baad ma akhallis	I pay by card at the shop after I finish
SA	148	classic	أنا [أشرب] قهوة كل يوم	ana [ashrab] gahwa kul yom	I [drink] coffee every day
SA	149	classic	أنا [أشرب] قهوة كل يوم	ana [ashrab] gahwa kul yom	I drink coffee every day
SA	150	classic	أنا [أشرب] قهوة	ana [ashrab] gahwa	I drink coffee
SA	151	classic	أنا [آكل] تمر	ana [akil] tamr	I eat dates
SA	152	classic	أنا [أروح] السوق	ana [arooh] as-soog	I go to the market
SA	153	classic	أنا [أفتح] الباب	ana [aftah] al-bab	I open the door
SA	154	classic	أنا [أرسل] رسالة	ana [arsil] risalah	I send a message
SA	155	classic	أنا [أقرأ] كتاب	ana [agra] kitab	I read a book
SA	156	classic	أنا [أدفع] كاش	ana [adfa] cash	I pay cash
SA	157	classic	أنا [ألبس] عباية	ana [albis] abayah	I wear an abaya
SA	158	cta	Comment QUIZ		Test your Arabic level
SA	159	classic	أرتب	arratib	I arrange
SA	160	classic	أرتب مكتبي	arratib maktabi	I arrange my office
SA	161	classic	أرتب مكتبي كل صباح	arratib maktabi kul sabah	I arrange my office every morning
SA	162	classic	أرتب مكتبي كل صباح قبل الدوام	arratib maktabi kul sabah gabl ad-dawam	I arrange my office every morning before work
SA	163	classic	أرتاح	artah	I rest
SA	164	classic	أرتاح في البيت	artah fil-bet	I rest at home
SA	165	classic	أرتاح في البيت بعد الدوام	artah fil-bet baad ad-dawam	I rest at home after work
SA	166	classic	أرتاح في البيت بعد الدوام شوي	artah fil-bet baad ad-dawam shway	I rest at home a little after work
SA	167	cta	Follow for Saudi Arabic		Daily useful sentences
SA	168	classic	أشغل	ashaghil	I turn on
SA	169	classic	أشغل المكيف	ashaghil al-mukayyif	I turn on the AC
SA	170	classic	أشغل المكيف في الغرفة	ashaghil al-mukayyif fil-ghurfah	I turn on the AC in the room
SA	171	classic	أشغل المكيف في الغرفة قبل النوم	ashaghil al-mukayyif fil-ghurfah gabl an-nom	I turn on the AC in the room before sleep
SA	172	cta	Follow for Saudi Arabic		Real daily sentences
SA	173	classic	وش تسوي؟	wesh tsawwi?	What are you doing?
SA	174	classic	أقفل	agfil	I turn off
SA	175	classic	أقفل النور	agfil an-noor	I turn off the light
SA	176	classic	أقفل النور قبل ما أطلع	agfil an-noor gabl ma atla3	I turn off the light before I leave
SA	177	classic	أقفل النور قبل ما أطلع من البيت	agfil an-noor gabl ma atla3 min al-bayt	I turn off the light before I leave the house
SA	178	cta	What do you say?		Practice with us every day
SA	179	classic	هذا [مكتب]	hatha [maktab]	This is an office.
SA	180	classic	هذه [سيارة]	hathihi [sayyarah]	This is a car.
SA	181	classic	هذا [مطعم]	hatha [matam]	This is a restaurant.
SA	182	classic	هذا [مطار]	hatha [matar]	This is an airport.
SA	183	cta	Did you get all 4?		Comment your score below
SA	184	classic	أكتب	aktub	I write
SA	185	classic	أكتب رسالة	aktub risalah	I write a message
SA	186	classic	أكتب رسالة لصديقي	aktub risalah li-sadeegi	I write a message to my friend
SA	187	classic	أكتب رسالة لصديقي كل يوم	aktub risalah li-sadeegi kul yom	I write a message to my friend every day
SA	188	cta	What's your favorite phrase?		Tell us below
SA	189	classic	أفتح	afta7	I open
SA	190	classic	أفتح الباب	afta7 al-bab	I open the door
SA	191	classic	أفتح الباب بهدوء	afta7 al-bab bihudoo	I open the door quietly
SA	192	classic	أفتح الباب لما أوصل	afta7 al-bab lamma awsal	I open the door when I arrive
SA	193	cta	Can you say it?		Practice out loud
SA	194	classic	ألبس	albas	I wear
SA	195	classic	ألبس الجاكيت	albas al-jakit	I wear the jacket
SA	196	classic	ألبس الجاكيت إذا برد	albas al-jakit iza barad	I wear the jacket when it's cold
SA	197	classic	ألبس الجاكيت قبل ما أطلع	albas al-jakit gabl ma atla3	I wear the jacket before I go out
SA	198	cta	Keep practicing		One phrase every day
SA	199	classic	هذا [بيت]	hatha [bayt]	This is a house.
SA	200	classic	هذه [مدرسة]	hathihi [madrasah]	This is a school.
SA	201	classic	هذا [سوق]	hatha [soog]	This is a market.
SA	202	classic	هذا [فندق]	hatha [funduq]	This is a hotel.
SA	203	cta	How many did you get?		Tell us in the comments
SA	204	classic	أتعلم	ata3allam	I learn
SA	205	classic	أتعلم عربي	ata3allam 3arabi	I learn Arabic
SA	206	classic	أتعلم عربي كل يوم	ata3allam 3arabi kul yom	I learn Arabic every day
SA	207	classic	أتعلم عربي مع أصدقائي	ata3allam 3arabi ma3 asdiga'i	I learn Arabic with my friends
SA	208	cta	Keep learning!		One step every day
SA	209	classic	أشتري	ashtari	I buy
SA	210	classic	أشتري خبز	ashtari khubz	I buy bread
SA	211	classic	أشتري خبز كل صباح	ashtari khubz kul sabah	I buy bread every morning
SA	212	classic	أشتري خبز من المخبز	ashtari khubz min al-makhbaz	I buy bread from the bakery
SA	213	cta	Can you say it?		Practice with us
SA	214	classic	هذا [مسجد]	hatha [masjid]	This is a mosque.
SA	215	classic	هذه [حديقة]	hathihi [hadeegah]	This is a park.
SA	216	classic	هذا [مقهى]	hatha [magha]	This is a café.
SA	217	classic	هذا [مطار]	hatha [matar]	This is an airport.
SA	218	cta	How many did you get right?		Comment your score
SA	219	challenge	أنا [أشرب] قهوة كل يوم	ana [ashrab] gahwa kul yom	I drink coffee every day
SA	220	classic	أطبخ	atbukh	I cook
SA	221	classic	أطبخ الغدا	atbukh al-ghada	I cook lunch
SA	222	classic	أطبخ الغدا كل يوم	atbukh al-ghada kul yom	I cook lunch every day
SA	223	classic	أطبخ الغدا مع أمي	atbukh al-ghada ma3 ummi	I cook lunch with my mom
SA	224	cta	Great job!		Keep practicing every day
SA	225	classic	أقرا	agra	I read
SA	226	classic	أقرا كتاب	agra kitab	I read a book
SA	227	classic	أقرا كتاب قبل النوم	agra kitab gabl an-nom	I read a book before bed
SA	228	classic	أقرا كتاب كل أسبوع	agra kitab kul usboo3	I read a book every week
SA	229	cta	Ready for more?		Learn Saudi Arabic daily
SA	230	classic	هذا [جسر]	hatha [jisr]	This is a bridge.
SA	231	classic	هذه [صيدلية]	hathihi [saydaliyyah]	This is a pharmacy.
SA	232	classic	هذا [مخبز]	hatha [makhbaz]	This is a bakery.
SA	233	classic	هذه [مكتبة]	hathihi [maktabah]	This is a library.
SA	234	cta	How many did you get?		Comment your score
SA	235	challenge	أنا [أشرب] قهوة كل صباح	ana [ashrab] gahwa kul sabah	I drink coffee every morning.
SA	236	challenge	هو [يسوق] السيارة كل يوم	huwa [yasoog] as-sayyarah kul yom	He drives the car every day.
SA	237	challenge	هي [تطبخ] العشا الليلة	heya [tatbukh] al-3asha al-laylah	She cooks dinner tonight.
SA	238	challenge	إحنا [نروح] السوق بعد الشغل	e7na [naroo7] as-soog ba3d ash-shughl	We go to the market after work.
SA	239	classic	أصحى	asha	I wake up
SA	240	classic	أصحى بدري	asha badri	I wake up early
SA	241	classic	أصحى بدري كل يوم	asha badri kul yom	I wake up early every day
SA	242	classic	أصحى بدري عشان الدوام	asha badri 3ashan ad-dawam	I wake up early for work
SA	243	cta	Great work!		Keep learning daily
SA	244	classic	أتفرج	atfarraj	I watch
SA	245	classic	أتفرج فيلم	atfarraj film	I watch a movie
SA	246	classic	أتفرج فيلم مع أصحابي	atfarraj film ma3 as7abi	I watch a movie with my friends
SA	247	classic	أتفرج فيلم في الويكند	atfarraj film fil-weekend	I watch a movie on the weekend
SA	248	cta	Ready for more?		Learn Saudi Arabic every day
SA	253	cta	Keep it up!		Learn one phrase a day
SA	254	classic	أشتغل	ashtaghil	I work
SA	255	classic	أشتغل في المكتب	ashtaghil fil-maktab	I work in the office
SA	256	classic	أشتغل في المكتب كل يوم	ashtaghil fil-maktab kul yom	I work in the office every day
SA	257	classic	أشتغل في المكتب مع فريقي	ashtaghil fil-maktab ma3 fareegi	I work in the office with my team
SA	258	cta	You're doing great!		Practice every day
SA	259	classic	أذاكر	athakir	I study
SA	260	classic	أذاكر في البيت	athakir fil-bayt	I study at home
SA	261	classic	أذاكر في البيت كل ليلة	athakir fil-bayt kul laylah	I study at home every night
SA	262	classic	أذاكر في البيت مع أخوي	athakir fil-bayt ma3 akhoy	I study at home with my brother
SA	263	cta	Awesome progress!		Learn every day
SA	264	challenge	أنا [ألبس] الجاكيت إذا برد	ana [albas] al-jakit iza barad	I wear the jacket when it's cold.
SA	265	challenge	هو [يقرأ] كتاب قبل النوم	huwa [yigra] kitab gabl an-nom	He reads a book before bed.
SA	266	challenge	هي [تفتح] الباب بهدوء	heya [tifta7] al-bab bihudoo	She opens the door quietly.
SA	267	challenge	إحنا [نتمشى] في الحديقة كل مساء	e7na [natamashsha] fil-hadeegah kul masa	We walk in the park every evening.
SA	268	classic	أركض	arkud	I run
SA	269	classic	أركض كل صباح	arkud kul sabah	I run every morning
SA	270	classic	أركض في الحديقة	arkud fil-hadeegah	I run in the park
SA	271	classic	أركض في الحديقة مع صديقي	arkud fil-hadeegah ma3 sadeegi	I run in the park with my friend
SA	272	cta	Keep going!		Practice every day
SA	273	classic	أسمع	asma3	I listen
SA	274	classic	أسمع موسيقى	asma3 mooseeqa	I listen to music
SA	275	classic	أسمع موسيقى في السيارة	asma3 mooseeqa fis-sayyarah	I listen to music in the car
SA	276	classic	أسمع موسيقى وأنا راجع البيت	asma3 mooseeqa wa ana raje3 al-bayt	I listen to music while going home
SA	277	cta	You're improving!		Learn Saudi Arabic daily
SA	278	challenge	أنا [أكتب] رسالة لصديقي	ana [aktub] risalah lisadeegi	I write a message to my friend.
SA	279	challenge	هو [يشرب] موية بعد التمرين	huwa [yishrab] moyah ba3d at-tamreen	He drinks water after the workout.
SA	280	challenge	هي [تغسل] السيارة اليوم	heya [taghsil] as-sayyarah al-yom	She washes the car today.
SA	281	challenge	إحنا [نزور] جدتي في الويكند	e7na [nazoor] jaddati fil-weekend	We visit our grandmother on the weekend.
SA	282	classic	أتصل	attasil	I call
SA	283	classic	أتصل بصديقي	attasil bisadeegi	I call my friend
SA	284	classic	أتصل بصديقي بعد الدوام	attasil bisadeegi ba3d ad-dawam	I call my friend after work
SA	285	classic	أتصل بصديقي كل يوم	attasil bisadeegi kul yom	I call my friend every day
SA	286	cta	Great job!		Learn Saudi Arabic every day
SA	287	challenge	أنا [أشرب] قهوة كل صباح	ana [ashrab] gahwa kul sabah	I drink coffee every morning.
SA	288	challenge	هو [يسوق] السيارة كل يوم	huwa [yasoog] as-sayyarah kul yom	He drives the car every day.
SA	289	challenge	هي [تطبخ] العشا الليلة	heya [tatbukh] al-3asha al-laylah	She cooks dinner tonight.
SA	290	challenge	إحنا [نزور] جدتي في الويكند	e7na [nazoor] jaddati fil-weekend	We visit our grandmother on the weekend.
SA	291	classic	أنا [أشرب] قهوة كل صباح	ana [ashrab] gahwa kul sabah	I drink coffee every morning.
SA	292	classic	هو [يسوق] السيارة كل يوم	huwa [yasoog] as-sayyarah kul yom	He drives the car every day.
SA	293	classic	هي [تطبخ] العشا الليلة	heya [tatbukh] al-3asha al-laylah	She cooks dinner tonight.
SA	294	challenge	إحنا [نزور] جدتي في الويكند	e7na [nazoor] jaddati fil-weekend	We visit our grandmother on the weekend.
SA	295	classic	أنا [ألبس] الجاكيت إذا برد	ana [albas] al-jakit itha barad	I wear a jacket when it's cold.
SA	296	classic	هو [يفتح] الباب بسرعة	huwa [yafta7] al-bab bisur'ah	He opens the door quickly.
SA	297	classic	هي [تقرأ] كتاب قبل النوم	heya [tagra] kitab gabl an-nawm	She reads a book before bed.
SA	298	challenge	إحنا [نروح] المطعم بعد الدوام	e7na [nroo7] al-mat3am ba3d ad-dawam	We go to the restaurant after work.
SA	299	classic	أنا [أطلب] قهوة بدون سكر	ana [atlub] gahwa bidoon sukkar	I order coffee without sugar.
SA	300	classic	هو [يلعب] كورة مع أصحابه	huwa [yil3ab] koorah ma3 as7abah	He plays football with his friends.
SA	301	classic	هي [تنظف] الغرفة اليوم	heya [tnaththif] al-ghurfah al-yom	She cleans the room today.
SA	302	challenge	إحنا [نسافر] الرياض بكرة	e7na [nsafir] ar-Riyadh bukrah	We travel to Riyadh tomorrow.
SA	303	classic	أنا [أكتب] واجبي بعد المدرسة	ana [aktub] wajibi ba3d al-madrasah	I do my homework after school.
SA	304	classic	هو [يشاهد] مباراة الليلة	huwa [yishahid] mubarah al-laylah	He watches the match tonight.
SA	305	classic	هي [تشتري] فاكهة من السوق	heya [tishtari] fakihah min as-soog	She buys fruit from the market.
SA	306	challenge	إحنا [نجتمع] مع العائلة يوم الجمعة	e7na [nijtami3] ma3 al-3a'ilah yawm al-jum3ah	We meet with the family on Friday.
SA	307	classic	أنا [أنتظر] الباص كل صباح	ana [antathir] al-bas kul sabah	I wait for the bus every morning.
SA	308	classic	هو [يغسل] السيارة يوم السبت	huwa [yaghsil] as-sayyarah yawm as-sabt	He washes the car on Saturday.
SA	309	classic	هي [تساعد] أمها في المطبخ	heya [tisa3id] ummaha fil-matbakh	She helps her mother in the kitchen.
SA	310	challenge	إحنا [نشرب] شاي بعد العشا	e7na [nishrab] shay ba3d al-3asha	We drink tea after dinner.
SA	311	classic	أنتظر	antathir	I wait
SA	312	classic	أنتظر الباص	antathir al-bas	I wait for the bus
SA	313	classic	أنتظر الباص كل صباح	antathir al-bas kul sabah	I wait for the bus every morning.
SA	314	classic	أنتظر الباص قبل الدوام	antathir al-bas gabl ad-dawam	I wait for the bus before work.
SA	315	cta	Great job!		Practice every day
SA	316	classic	أساعد	asa3id	I help
SA	317	classic	أساعد أمي	asa3id ummi	I help my mom
SA	318	classic	أساعد أمي في المطبخ	asa3id ummi fil-matbakh	I help my mom in the kitchen.
SA	319	classic	أساعد أمي كل يوم	asa3id ummi kul yom	I help my mom every day.
SA	320	cta	Awesome!		Keep learning Saudi Arabic
SA	321	classic	أتعلم	ata3allam	I learn
SA	322	classic	أتعلم عربي	ata3allam 3arabi	I learn Arabic
SA	323	classic	أتعلم عربي كل يوم	ata3allam 3arabi kul yom	I learn Arabic every day.
SA	324	classic	أتعلم عربي مع صديقي	ata3allam 3arabi ma3 sadeegi	I learn Arabic with my friend.
SA	325	cta	Well done!		Learn a little every day
SA	326	classic	أطبخ	atbukh	I cook
SA	327	classic	أطبخ العشا	atbukh al-3asha	I cook dinner
SA	328	classic	أطبخ العشا لعيلتي	atbukh al-3asha li3ailti	I cook dinner for my family.
SA	329	classic	أطبخ العشا في البيت	atbukh al-3asha fil-bait	I cook dinner at home.
SA	330	cta	Keep going!		Practice Saudi Arabic daily
SA	331	classic	أنا [أمشي] للدوام كل صباح	ana [amshi] lid-dawam kul sabah	I walk to work every morning.
SA	332	classic	هو [يلبس] الشماغ في المناسبات	huwa [yalbas] ash-shimagh fil-munasabat	He wears the shemagh on special occasions.
SA	333	classic	هي [تشرب] شاي بعد العشا	heya [tishrab] shay ba3d al-3asha	She drinks tea after dinner.
SA	334	challenge	إحنا [نجلس] في الكوفي بعد الدوام	e7na [nijlis] fil-kofi ba3d ad-dawam	We sit at the café after work.
SA	335	classic	ألعب	al3ab	I play
SA	336	classic	ألعب كورة	al3ab koorah	I play football
SA	337	classic	ألعب كورة مع أصحابي	al3ab koorah ma3 as7abi	I play football with my friends.
SA	338	classic	ألعب كورة بعد الدوام	al3ab koorah ba3d ad-dawam	I play football after work.
SA	339	cta	Great job!		Learn one phrase every day
SA	340	classic	أشتري	ashtari	I buy
SA	341	classic	أشتري فاكهة	ashtari fakihah	I buy fruit
SA	342	classic	أشتري فاكهة من السوق	ashtari fakihah min as-soog	I buy fruit from the market.
SA	343	classic	أشتري فاكهة لعيلتي	ashtari fakihah li3ailti	I buy fruit for my family.
SA	344	cta	Nice work!		Speak Saudi Arabic with confidence
SA	345	classic	أنا [أشتري] قهوة كل صباح	ana [ashtari] gahwa kul sabah	I buy coffee every morning.
